"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","Radio"
"SN2013B","2013/01/03","17.2","ESO 60-G26","09:04:00.80","-72:03:24.8,-72:03:24.80","0.0378","Ia","1","1",""
"SN2013ba","2013/04/04","18.7","A135257+2126","13:52:56.63","+21:56:21.7,+21:56:21.70","0.08","Ia","1","1",""
"SN2013cb","2013/05/01","17.4","A113502+1607","11:35:01.74","+16:07:16.8,+16:07:16.79","0.054127","Ia","1","1",""
"SN2013cd","2013/04/28","16.7","UGC 4294","08:16:49.00","+60:29:28.5,+60:29:28.50","0.03908","Ia","1","1",""
"SN2013ci","2013/05/04","17.1","A170453+0907","17:04:53.68","+09:07:59.6,+09:07:59.59","0.036,0.036","Ia","1","1",""
"SN2013et","2013/08/02","18.4","UGC 1723","02:14:17.05","+07:35:11.8,+07:35:11.80","0.057","Ia","1","1",""
"SN2013fi","2013/08/31","18.1","PGC 2194789","03:04:38.57,03:04:38.56","+42:13:49.4,+42:13:49.40","0.065","Ia","1","1",""
"SN2013fx","2013/10/21","17","A230321-6911","23:03:21.77","-69:11:18.5,-69:11:18.49","0.06","Ia","1","1",""
"SN2013gi","2013/11/13","17.9","PGC 75726","06:23:47.27","-65:19:48.4,-65:19:48.40","0.0301","Ia","1","1",""
"SN2013gt","2013/11/16","17.2","PGC 20784","07:21:31.66,07:21:31.65","+55:45:32.3,+55:45:32.11,+55:45:32.1","0.038126","Ia","1","1",""
"SN2013gv","2013/12/04","16.1","IC 1890","03:09:57.30,03:09:57.31","+19:12:48.6,+19:12:49.21,+19:12:49.2","0.03412","Ia","1","1",""
"SN2013gw","2013/11/28","16.5","PGC 2033541","13:22:48.38","+33:30:20.7,+33:30:20.70","0.0387","Ia","1","1",""
"SN2013hb","2013/10/07","15.5","VI Zw 062","01:50:46.32,01:50:46.3","+33:06:35.6,+33:06:36,+33:06:35.60,+33:06:35.64","0.035","Ia Pec","1","1",""
"SN2013hm","2013/11/26","17.7","MCG +08-32-23","17:50:48.49","+47:11:50.9,+47:11:50.89","0.031989","Ia","1","1",""
"SN2013I","2013/01/11","17.8","A024943+0045","02:49:42.17","+00:45:35.7,+00:45:35.71","0.036,0.035","Ia","1","1",""
"SN2013R","2013/01/06","16.7","PGC 82417","09:31:35.12,13:10:19.68","+35:23:42.4,+32:28:25.72","0.052","Ia","1","1",""
"SN2013Y","2013/02/06","18.7","A120940+1612","12:09:39.70","+16:12:14.3,+16:12:14.29","0.077","Ia","1","1",""
"SN2014ag","2014/03/11","15.5","MCG +07-34-101","16:30:40.68","+44:30:34.7,+44:30:34.70","0.031675","Ia","1","1",""
"SN2014an","2014/03/31","18","A145143+0833","14:51:42.93","+08:34:12.5,+08:34:12.50","0.060609","Ia","1","1",""
"SN2014be","2014/05/07","18.5","A160935+4226","16:09:35.12","+42:26:30.4,+42:26:30.41","0.071,0.072","Ia","1","1",""
"SN2014bg","2014/06/05","16.1","UGC 9396","14:35:45.90,14:35:45.9","+24:43:17.9,+24:43:17.90","0.036091","Ia","1","2",""
"SN2014bm","2014/06/06","17.4","NGC 6456","17:42:32.16","+67:35:41.8,+67:35:41.78","0.041265","Ia","1","1",""
"SN2014bn","2014/06/08","17.6","IC 1370","21:15:13.30","+02:11:22.4,+02:11:22.42","0.05","Ia","1","1",""
"SN2014cs","2014/06/22","17.1","PGC 349297","21:35:52.97,21:35:53.36,21:35:52.36","-62:05:39.0,-62:05:39.80,-62:05:39.8","0.054","Ia","1","1",""
"SN2014ct","2014/06/01","18.7","MCG +00-26-01","09:59:25.16","-00:15:19.2,-00:15:19.19","0.048","Ia","1","1",""
"SN2014dm","2014/09/27","16.5","NGC 1516A","04:08:07.13","-08:49:37.2,-08:49:37.20","0.033","Ia","1","1",""
"SNhunt146","2012/08/28","18.2","NGC 1296","03:18:51.12,03:18:51.1","-13:03:47.2,-13:03:47,-13:03:47.16","0.031,0.032","Ia","1","1",""
"SNhunt259","2014/10/15","20.7","MCG -01-01-020","00:00:21.2,00:00:21.19","-02:36:33,-02:36:33.0,-02:36:32.976","0.037909","Candidate","1","2",""
"ASASSN-15bf","2015/01/19","16.8","2MASX J04384102-4137212","04:38:41.100,04:38:41.10,04:38:41.112","-41:37:26.21,-41:37:26.2,-41:37:26.4","0.048527","Ia","1","1",""
"ASASSN-15bo","2015/01/22","17.1","SDSS J144455.21+243443.9","14:44:55.220,14:44:55.22,14:44:55.2","+24:34:43.70,+24:34:43.7,+24:34:43.68","0.032","Ia","1","1",""
"ASASSN-15cb","2015/01/21","16","CGCG 042-196","12:39:50.230,12:39:50.23,12:39:50.16","+03:47:49.77,+03:47:49.8,+03:47:49.74","0.040038","Ia","1","1",""
"ASASSN-15cd","2015/01/26","16.1","CGCG 064-017","09:59:14.990,09:59:14.99,09:59:14.88","+12:59:18.27,+12:59:18.3,+12:59:18.24","0.034352","Ia","1","1",""
"ASASSN-15da","2015/02/12","16.2","2MASX J05235186-2442081","05:23:51.880,05:23:51.88,05:23:51.888","-24:42:08.38,-24:42:08.4,-24:42:08.28","0.048","Ia","1","1",""
"ASASSN-15dz","2015/02/20","15.9","CGCG 080-055","16:41:20.870,16:41:20.87,16:41:20.88","+08:54:31.66,+08:54:31.7,+08:54:31.644","0.032216","Ia","1","1",""
"ASASSN-15fr","2015/03/24","16.4","2MASX J09202045-0738229","09:20:20.440,09:20:20.44,09:20:20.4","-07:38:26.78,-07:38:26.8,-07:38:26.772","0.033436","Ia","1","1",""
"ASASSN-15hz","2015/04/26","16.7","APMUKS(BJ) B222606.49-654315.6","22:29:38.080,22:29:38.08,22:29:38.16","-65:27:56.24,-65:27:56.2,-65:27:56.16","0.033","Ia","1","1",""
"ASASSN-15ke","2015/05/26","17","2MASX J15254441+5921091","15:25:44.810,15:25:45.20,15:25:44.81,15:25:44.88","+59:21:10.09,+59:21:10.9,+59:21:10.1,+59:21:10.08","0.045359","Ia","1","1",""
"ASASSN-15mg","2015/07/09","16.8","2MASX J15322270+4150586","15:32:22.80,15:32:22.8","+41:50:59.6,+41:50:59.64","0.0428","Ia","1","1",""
"ASASSN-15mx","2015/07/19","16.8","SDSS J142443.90+260255.4","14:24:44.55,14:24:44.4","+26:02:52.1,+26:02:53.16","0.031","Ia","1","1",""
"ASASSN-15np","2015/08/06","17.1","2MASX J15060265+0733415","15:06:02.650,15:06:02.65,15:06:02.64","+07:33:41.54,+07:33:41.5,+07:33:41.544","0.037688","Ia","1","1",""
"ASASSN-15nq","2015/08/06","16.5","2MFGC 13779","17:17:19.230,17:17:19.23,17:17:19.2","+33:27:43.27,+33:27:43.3,+33:27:43.2","0.030418","Ia","1","1",""
"ASASSN-15om","2015/08/15","17.1","LCRS B021111.4-453206","02:13:07.470,02:13:07.47,02:13:07.464","-45:18:08.04,-45:18:08.0,-45:18:07.92","0.041719","Ia","1","1",""
"ASASSN-15qy","2015/10/11","16.4","2MASX J00011837-3321048","00:01:18.260,00:01:18.26,00:01:18.3","-33:21:02.71,-33:21:02.7,-33:21:02.52","0.03","Ia","1","1",""
"ASASSN-15re","2015/10/13","16.8","CGCG 448-007","20:48:07.780,20:48:07.78,20:48:07.68","+16:23:01.33,+16:23:01.3,+16:23:01.32","0.030314","Ic Pec","1","1",""
"ASASSN-15sh","2015/11/02","16.6","2MASX J19320827-6226340","19:32:07.007,19:32:07.01,19:32:06.96","-62:26:29.99,-62:26:29.10,-62:26:30.12","0.033","Ia","1","1",""
"ASASSN-15tt","2015/12/08","17.1","2MASXi J0638012-373927","06:38:01.490,06:38:01.49,06:38:01.488","-37:39:30.94,-37:39:30.9,-37:39:30.96","0.034","Ia","1","1",""
"ASASSN-15up","2015/12/29","16.4","GALEXASC J042539.92-494621.0","04:25:39.258,04:25:39.26,04:25:39.264","-49:46:19.48,-49:46:19.5,-49:46:19.56","0.037","Ia","1","1",""
"ATLAS17abx","2017/01/03","18.8","","10:33:19.750","-08:36:03.70","0.065","Ia","1","1",""
"iPTF15agv","2015/04/12","21","","10:58:59.07","+46:40:25.2","0.035","Ia","1","1",""
"iPTF15aov","2015/05/06","18.2","","11:21:59.10","+52:55:41.5","0.034","Ia","1","1",""
"iPTF15aow","2015/05/06","19.1","","11:38:49.22","+55:00:29.1","0.07597","Ia","1","1",""
"iPTF15aqi","2015/05/11","20.1","","12:24:12.61","+45:57:23.7","0.07","Ia","1","1",""
"iPTF15awr","2015/05/25","18.1","","15:01:19.14","+16:46:47.9","0.05","Ia","1","1",""
"iPTF15bav","2015/05/29","20.3","","13:23:36.03","+45:27:38.4","0.06068","Ia","1","1",""
"iPTF15bgx","2015/05/28","17.5","","16:22:05.54","+37:19:19.9","0.048","Ia","1","2",""
"iPTF15biq","2015/06/16","20.7","","15:13:32.82","+19:28:35.1","0.079","Ia","1","1",""
"iPTF15bsn","2015/07/18","19.1","","15:22:31.95","+30:01:20.3,+30:01:20.30","0.06577","Ia","1","1",""
"iPTF15bwe","2015/08/05","19.6","","21:55:15.97","+31:20:14.9,+31:20:14.93","0.07","Ia","1","1",""
"iPTF15cct","2015/08/19","19.6","","21:16:26.060,21:16:26.06","+15:25:29.21","0.08","Ia","1","1",""
"iPTF15cji","2015/08/19","21.5","","22:47:45.560,22:47:45.56","+27:20:15.98","0.08","Ia","1","1",""
"iPTF15ckb","2015/08/18","20.4","","01:18:46.830,01:18:46.83","+41:06:36.60","0.05","Ia","1","1",""
"iPTF15cqf","2015/09/04","18.6","PGC 1619741","21:15:46.395","+20:11:58.94","0.0794","Ia","1","1",""
"iPTF15cys","2015/09/17","18.1","","08:11:55.59,08:11:55.592","+16:43:10.1,+16:43:10.07","0.05","Ia","1","1",""
"iPTF15dnt","2015/10/30","18.4","","20:59:47.781","+17:52:55.24","0.0371","Ia","1","1",""
"iPTF15doh","2015/10/30","18.5","PGC 1746039","22:40:25.991","+25:41:30.34","0.059","Ia","1","1",""
"iPTF15dqf","2015/11/01","19.5","PGC 1032405","00:49:48.606","-06:28:57.26","0.07","Ia","1","1",""
"iPTF15dqv","2015/11/06","19.6","","00:01:07.581","+03:39:55.42","0.08","Ia","1","1",""
"iPTF15drk","2015/11/06","20.4","PGC 1394711","00:53:32.206","+11:30:54.31","0.03","Ia","1","1",""
"iPTF15dsf","2015/11/08","20.7","","21:41:29.95","+19:28:59.3","0.073","Ia","1","1",""
"iPTF15dul","2015/11/13","18.9","","00:30:27.90","-06:32:49.5","0.063","Ia","1","1",""
"iPTF15id","2015/02/10","19.1","","04:01:55.93","+02:54:55.2","0.043","Ia","1","1",""
"iPTF15jq","2015/02/12","20.3","","11:32:48.79","+37:54:01.4","0.06","Ia","1","1",""
"iPTF15wb","2015/03/16","18.1","CGCG 004-035","08:28:18.07","+00:17:22.7","0.03","Ia","1","1",""
"LSQ15acf","2015/03/31","18.7","","10:22:22.680,10:22:22.68","-12:42:55.08","0.073","Ia","1","1",""
"LSQ15aja","2015/04/24","19","","17:03:08.91","+12:27:41.6","0.068","Ia","1","1",""
"LSQ15bbb","2015/09/18","17.4","","07:25:16.50","-69:04:01.1","0.036702","Ia","1","1",""
"LSQ15bci","2015/09/30","17","MCG -05-04-23","01:15:03.27","-31:47:09.5","0.03","Ia","1","1",""
"LSQ15bi","2015/01/09","20.2","","12:24:25.57","-22:25:28.8","0.036","Ia","1","1",""
"LSQ15bo","2015/01/11","19","","13:30:33.20","-29:33:56.1","0.047","Ia","1","1",""
"LSQ15bon","2015/11/13","19","","00:48:08.67","-29:08:22.9","0.06","Ia","1","1",""
"LSQ15ci","2015/01/12","19.3","","10:28:11.62","-03:18:23.4","0.06","Ia","1","1",""
"LSQ15cl","2015/01/03","20.4","","10:45:43.42","-10:18:56.7","0.055","Ia","1","1",""
"LSQ15lp","2015/02/13","18.8","","13:15:25.72","-13:27:24.8","0.051","Ia","1","1",""
"LSQ15z","2015/01/07","17","","13:08:22.48","-08:43:57.8","0.07","Ia","1","1",""
"LSQ16ab","2015/12/29","20.9","","11:04:01.31","-05:33:37.4","0.073","Ia","1","1",""
"LSQ16ar","2016/01/09","18.5","","03:56:21.42","-40:40:02.8","0.077","Ia","1","1",""
"LSQ16bu","2016/01/11","18","","13:23:32.33","-23:53:40.2","0.041","Ia","1","1",""
"MASTER OT J020844.29+481923.0","2015/01/08","17.4","","02:08:44.29,02:08:44.2","+48:19:23.0","0.036","Ia","1","1",""
"MASTER OT J133905.0-201718.3","2016/12/08","16.8","PGC 843793","13:39:05.000","-20:17:18.30","0.032","Ia","1","1",""
"MASTER OT J144326.01+572541.2","2015/06/09","18.6","PGC 52589","14:43:26.01","+57:25:41.2","0.06797","Ia","1","1",""
"PS15cbm","2015/09/17","18.6","PGC 1258883","08:49:19.84,08:49:19.85","+03:48:17.7,+03:48:17.8","0.059","Ia","1","1",""
"PS15cej","2015/10/02","18.1","","09:35:19.41","+10:11:50.7","0.049,0.049","Ia","1","1",""
"PS15csd","2015/11/01","19","","02:04:55.53","+18:48:15.0,+18:48:15.1","0.044","Ia","1","1",""
"PS15dpa","2015/12/28","19.5","","02:57:56.02","+28:53:37.1","0.079,0.079","Ia","1","1",""
"PSN J23102264+0735202","2015/09/06","17.3","NGC 7499","23:10:22.64","+07:35:20.2","0.046","Ia","1","1",""
"PSN J23342383+2727196","2015/07/12","18.8","PGC 1808598","23:34:23.83","+27:27:19.6","0.059","Ia","1","1",""
"SMT J10310056-3658262","2015/03/13","16.5","ESO 375-G52","10:31:00.55","-36:58:26.2","0.035","Ia","1","1",""
"SMT J13545988-2820020","2015/03/13","18.7","","13:54:59.87","-28:20:01.9","0.038","Ia","1","1",""
"SMT16alz","2016/03/31","21.3","","05:52:04.95","-34:09:29.9","0.07","Ia","1","1",""
"SN2015ai","2015/07/02","16.2","UGC 8734","13:48:04.90","+61:49:15.3,+61:49:15.31","0.031","Ia","1","1",""
"SN2016aey","2016/01/28","18.13","SDSS J095438.58+393227.0","09:54:38.69","+39:32:35.50,+39:32:35.5","0.047624,0.047624","Ia","1","1",""
"SN2016aez","2016/02/05","18.12","PGC 730980","05:31:18.16","-29:17:42.40,-29:17:42.4","0.038,0.038","Ia","1","1",""
"SN2016ajl","2016/02/19","17.7","","04:42:24.65","-21:43:27.60,-21:43:27.6","0.07,0.07","Ia","1","1",""
"SN2016ajw","2016/01/28","19.6","","13:28:03.56","-31:45:25.87,-31:45:25.9","0.045,0.045","Ia","1","1",""
"SN2016am","2016/01/01","18.12","","07:09:25.90","+48:57:32.41,+48:57:32.4","0.06,0.06","Ia","1","1",""
"SN2016aqa","2016/02/08","21.37","","11:23:52.74","-05:33:06.55,-05:33:06.6","0.052,0.052","Ia","1","1",""
"SN2016arj","2016/02/09","20.18","","13:11:04.64","+49:19:04.50,+49:19:04.5","0.056","Ia","1","2",""
"SN2016aud","2016/03/06","17.2","SDSS J151354.30+044525.7","15:13:54.30,15:13:54.33,15:13:54.24","+04:45:26.14,+04:45:25.9,+04:45:25.884","0.041934,0.041934","Ia-91T","1","1",""
"SN2016bey","2016/03/11","18.43","","11:37:40.23","+57:04:41.50,+57:04:41.5","0.073,0.073","Ia","1","1",""
"SN2016blg","2016/03/31","18.4","SDSS J132713.81-021615.2","13:27:13.92","-02:16:12.26,-02:16:12.3,-02:16:12.756","0.07,0.07","Ia","1","1",""
"SN2016bsc","2016/04/22","18","KUG 0856+499","08:59:52.22","+49:46:15.90,+49:46:15.9","0.05,0.05,0.05","Ia","1","1",""
"SN2016bsd","2016/04/22","18","SDSS J091041.37+500204.6","09:10:41.58","+50:02:03.90,+50:02:03.9","0.052,0.052","Ia","1","1",""
"SN2016cck","2016/05/03","17.8","2MASX J17353788+0848387","17:35:37.80,17:35:37.800","+08:48:32.35","0.037,0.037","Ia","1","1",""
"SN2016ccp","2016/05/06","17.1","2MASX J01024098-4939411","01:02:39.90,01:02:39.900","-49:39:25.10","0.0304,0.0304","Ia","1","1",""
"SN2016cdg","2016/05/16","17.4","CGCG 301-013","18:04:24.65,18:04:24.650","+56:56:44.96","0.056,0.056,0.056","Ia","1","1",""
"SN2016clb","2016/04/26","19.49","","13:24:26.73,13:24:26.730","+43:57:07.85","0.043,0.043","Ia","1","1",""
"SN2016cle","2016/05/02","20.68","","12:06:36.96,12:06:36.960","-02:39:02.97","0.08,0.08","Ia","1","1",""
"SN2016cnv","2016/05/24","17.7","2MASX J15510599+3425520","15:51:05.97,15:51:05.970","+34:25:52.68","0.031,0.031,0.031","Ia","1","1",""
"SN2016com","2016/05/11","19.72","","12:52:47.91,12:52:47.910","+55:03:35.29","0.08,0.08","Ia","1","1",""
"SN2016con","2016/05/12","20.26","","13:13:30.74,13:13:30.75,13:13:30.72","+43:31:46.36,+43:31:46.7,+43:31:46.56","0.04,0.04","Ia","1","1",""
"SN2016coo","2016/05/19","18.79","","11:41:02.23,11:41:02.230","+35:29:30.89","0.05,0.05","Ia","1","1",""
"SN2016cpw","2016/05/30","17.78","","21:41:24.44,21:41:24.440","-14:04:35.96","0.06036","Ia","1","1",""
"SN2016cvy","2016/05/10","20.19","","15:27:36.33,15:27:36.330","+57:51:23.32","0.072,0.072","Ia","1","1",""
"SN2016cwh","2016/05/29","21.03","","15:17:44.57,15:17:44.570","+08:41:06.18","0.074,0.074","Ia","1","1",""
"SN2016D","2016/01/01","16.5","PGC 14303","04:01:25.99","-54:45:30.8,-54:45:30.80","0.045,0.045","Ia","1","1",""
"SN2016ek","2016/01/01","19.78","","09:07:17.57","+56:00:09.00,+56:00:09.0","0.045,0.045","Ia","1","1",""
"SN2016el","2016/01/12","18.96","","03:51:24.31","+35:40:40.99,+35:40:40.9","0.042,0.042","Ia","1","1",""
"SN2016eno","2016/08/01","18.48","","23:25:17.78,23:25:17.780","-18:52:42.22","0.071,0.071","Ia","1","1",""
"SN2016enx","2016/08/01","18.29","","01:14:22.26,01:14:22.260","-13:09:11.12","0.078,0.078","Ia","1","1",""
"SN2016epa","2016/08/01","17.98","","02:26:10.81,02:26:10.810","-23:23:54.11","0.063,0.063","Ia","1","1",""
"SN2016epd","2016/08/01","18.09","","02:52:09.31,02:52:09.310","-08:40:24.50","0.057236","Ia","1","1",""
"SN2016er","2016/01/15","20.18","","11:33:56.95","+49:10:25.20,+49:10:25.2","0.05,0.05","Ia","1","1",""
"SN2016fbk","2016/08/16","17.7","UGC 1212","01:44:06.57,01:44:06.570","+34:22:58.20","0.035865,0.035865","Ia","1","1",""
"SN2016flv","2016/08/27","17.5","APMUKS(BJ) B224253.45-073553.1","22:45:29.96,22:45:29.960,22:45:30","-07:20:07.14,-07:20:07.008","0.053","Ia","1","1",""
"SN2016gmb","2016/09/23","17.9","GALEXASC J003445.02-060936.8","00:34:44.67,00:34:44.670","-06:09:34.39","0.058,0.058","Ia","1","1",""
"SN2016gse","2016/09/28","17.66","","02:45:11.13,02:45:11.130","-09:07:13.25","0.043,0.043","Ia","1","1",""
"SN2016gtq","2016/09/27","18.48","","22:40:37.82,22:40:37.820","-01:38:28.28","0.059,0.059","Ia","1","1",""
"SN2016hfe","2016/10/14","17.44","ESO 461-G40","20:06:45.57,20:06:45.570","-31:00:44.51","0.039661","Ia","1","1",""
"SN2016htl","2016/10/30","18.3","","19:53:55.35,19:53:55.350","-23:40:23.58","0.032,0.032","Ia","1","1",""
"SN2016inv","2016/11/26","17.78","","07:56:47.70,07:56:47.700","+37:49:13.43","0.043586","Ia","1","1",""
"SN2016iol","2016/11/27","17.1","CGCG 068-029","11:41:56.17,11:41:56.087,11:41:56.16","+12:35:09.96,+12:35:09.98","0.034215,0.034215","Ia","1","1",""
"SN2016itb","2016/12/06","17.1","","06:08:52.66,06:08:52.660","+50:50:40.60","0.04,0.04","Ia","1","1",""
"SN2016J","2015/12/28","16.7","","05:47:45.39,05:47:45.38,05:47:45.384","+53:36:32.4,+53:36:32.26,+53:36:32.3","0.034","Ia","1","1",""
"SN2017aas","2017/02/01","18.2","SDSS J112029.65+344514.1","11:20:29.66,11:20:29.660","+34:45:14.34","0.042,0.042","Ia","1","1",""
"SN2017adj","2017/01/30","18.17","","13:43:23.25,13:43:23.250","-19:56:37.13","0.03,0.03","Ia","1","1",""
"SN2017ah","2017/01/04","17.35","CGCG 314-011","11:10:01.96,11:10:01.960,11:10:01.92","+63:38:34.16,+63:38:34.08","0.032863,0.032863","Ia","1","1",""
"SN2017bd","2017/01/03","19.67","PGC 3080370","02:25:16.20,02:25:16.200","-05:53:12.55,-05:53:12.5","0.053","Ia","1","1",""
"SN2017lm","2017/01/14","18.07","","03:01:32.41,03:01:32.410","-15:00:57.19","0.03052,0.03052","Ia","1","1",""
"SN2017me","2017/01/20","17.67","KUG 1125+276","11:27:54.52,11:27:54.520","+27:20:44.79","0.032668","Ia","1","1",""
"SN2017ng","2017/01/23","16.9","2MASX J15204087+0439331","15:20:40.82,15:20:40.820,15:20:40.8","+04:39:34.13,+04:39:34.416","0.037","Ia","1","1",""
"SN2017yi","2017/01/29","17.3","2MASX J02592769+1447417","02:59:27.36,02:59:27.360","+14:47:57.30","0.034,0.034","Ia","1","1",""
"SN2017yn","2017/01/18","18.1","","11:32:37.97,11:32:37.970","-25:03:32.32","0.07,0.07","Ia","1","1",""
"SN2006fe","2006/08/27","19.84","SDSS J05209.08-003039.3","20:52:09.10,20:52:09.12,20:52:09.16","-00:30:39.3,-00:30:39.96,-00:30:40.0752,-00:30:40.3704,-00:30:40.0,-00:30:40.00","0.070498","Ic","0","1",""
"SN2008cz","2008/06/09","","AGC211492","11:23:10.90,11:23:10.8","+34:12:51.0,+34:12:51.01,+34:12:51.12","0.034,0.034","Ia","0","2",""
"SN2008dh","2008/06/08","","A003511+2315","00:35:11.32,00:35:11.316","+23:15:15.1,+23:15:15.08,+23:15:15.12","0.037,0.037","Ia","0","2",""
"SN2008gt","2008/10/29","","APMUKS(BJ) B224209.38-032444.7","22:44:43.69,22:44:43.68","-03:08:51.1,-03:08:51.11,-03:08:51.108","0.0668","Ia","0","2",""
"SN2008gw","2008/11/03","","2MASX J04392713+0908218","04:39:26.21,04:39:26.208","+09:08:31.6,+09:08:31.60,+09:08:31.56","0.064001","Ia","0","1",""
"SN2009lg","2009/11/10","","A233849+2815","23:38:49.93,23:38:49.90,23:38:49.92,23:38:49.63","+28:15:54.2,+28:15:53.8,+28:15:53.64,+28:16:13.8,+28:15:54.22,+28:15:54.36","0.0575","Ia","0","1",""
"CSS120418:125049+222228","2012/04/18","","","12:50:48.51,12:50:48.48","+22:22:28.3,+22:22:28.2","0.072","Ia","0","1",""
"CSS121006:015926+014412","2012/10/06","","","01:59:25.99,01:59:25.992","+01:44:11.8,+01:44:11.832","0.08","Ia","0","1",""
"CSS130421:145636+174410","2013/04/10","","","14:56:35.87,14:56:35.83,14:56:35.76","+17:44:12.6,+17:44:10.5,+17:44:10.32","0.03301","Ia","0","1",""
"CSS131031:095508+064831","2013/10/31","","","09:55:08.22,09:55:08.16","+06:48:31.4,+06:48:31.464","0.08","Ia","0","5",""
"CSS131225:030144-092044","2013/12/25","","","03:01:44.32,03:01:44.328","-09:20:43.5,-09:20:43.512","0.051","Ia","0","1",""
"CSS140204:092250+292926","2014/02/04","","","09:22:49.75,09:22:49.68","+29:29:25.7,+29:29:25.8","0.06","Ia","0","1",""
"CSS140426:171938-010130","2014/04/26","","","17:19:38.28,17:19:38.4","-01:01:30.0,-01:01:30.036","0.033453","Ia","0","1",""
"CSS140501:170414+174839","2014/05/01","","","17:04:13.69,17:04:13.68","+17:48:39.4,+17:48:39.5,+17:48:39.6","0.07","Ia","0","1",""
"CSS140628:233025+060302","2014/06/28","","","23:30:25.0,23:30:25.25,23:30:25.2,23:30:25","+06:03:02,+06:03:02.1,+06:03:02.088","0.056","Ia","0","1",""
"iPTF14fpb","2014/09/16","","","00:47:46.58,00:47:46.56","+11:14:24.5,+11:14:24","0.06","Ia","0","1",""
"LSQ12bpg","2012/03/31","","","15:07:32.00,15:07:31.610,15:07:31.61,15:07:31.68","+20:33:00.0,+20:33:00.36,+20:32:59.64","0.077,0.076","Ia","0","3",""
"LSQ13cmt","2013/10/03","","","01:02:41.95,01:02:41.928","-21:52:23.4,-21:52:23.88","0.057","Ia","0","1",""
"LSQ14ahm","2014/03/06","","","11:41:22.45,11:41:22.56","-12:23:57.5,-12:23:57.12","0.05","Ia","0","1",""
"LSQ14eek","2014/07/27","","","21:36:50.32,21:36:50.4","-02:28:06.4,-02:28:07.968","0.08","Ia","0","1",""
"MASTER OT J093953.18+165516.4","2013/02/07","","CGCG 092-024","09:39:53.18,09:39:53.04","+16:55:16.4,+16:55:16.32","0.04779","Ia","0","1",""
"MLS131211:095947+132212","2013/12/11","","","09:59:47.03,09:59:47.04","+13:22:11.6,+13:22:11.64","0.08","Ia","0","1",""
"MLS140308:101937+193321","2014/03/08","","","10:19:36.79,10:19:36.81,10:19:36.72","+19:33:20.3,+19:33:20.5,+19:33:20.52","0.06","Ia","0","1",""
"PSN J10292799+2200468","2014/11/23","","UGC 5691","10:29:27.99,10:29:27.84","+22:00:46.8,+22:00:46.44","0.05445,0.05443","Ia","0","2",""
"SN2010ip","2010/10/03","","A032948+0632","03:29:48.50,03:29:48.432,03:29:48.504","+06:32:55.3,+06:32:55.572,+06:32:55.28,+06:32:55.284","0.052","Ia","0","1",""
"SN2011ga","2011/09/18","","PGC 69458","22:40:27.42,22:40:27.36","+03:11:58.0,+03:11:57.98,+03:11:57.984","0.0394","Ia","0","1",""
"SN2011gr","2011/09/18","","A002045+0656","00:20:45.98,00:20:45.97","+06:56:05.2,+06:56:05.21,+06:56:05.1,+06:56:05.172","0.068","Ia","0","1",""
"SN2011hc","2011/10/23","","A201210-1121","20:12:10.07,20:12:10.08","-11:21:57.7,-11:21:57.71,-11:21:57.6","0.034,0.037","Ia","0","1",""
"SN2011hl","2011/09/26","","A000155+0652","00:01:55.69","+06:52:35.9,+06:52:35.90,+06:52:35.94","0.08","Ia","0","1",""
"SN2011ig","2011/11/17","","A010554-1220","01:05:54.65,01:05:54.648","-12:20:48.6,-12:20:48.59,-12:20:48.5,-12:20:48.48","0.065","Ia","0","1",""
"SN2011iz","2011/11/30","","A032136+2233","03:21:36.48,03:21:36.47","+22:33:46.1,+22:33:46.12,+22:33:46.0,+22:33:46.08","0.038","Ia","0","1",""
"SN2011jd","2011/11/19","","A002254+1352","00:22:54.27,00:22:54.274","+13:52:22.4,+13:52:22.40,+13:52:22.44","0.079","Ia","0","1",""
"SN2012az","2012/03/13","","A030852+1718","03:08:52.09,03:08:52.104,03:08:52.152","+17:18:03.2,+17:18:03.20,+17:18:03.24,+17:18:03.96","0.047","Ia","0","1",""
"SN2012do","2012/06/20","","A135635+0446","13:56:35.28,13:56:35.00","+04:46:52.3,+04:46:52.28,+04:46:52.0,+04:46:52.284","0.054","Ia","0","1",""
"SN2012dr","2012/06/18","","A133949+2608","13:33:49.61,13:33:50.00,13:33:49.68","+26:08:07.0,+26:08:07.01,+26:08:07.08","0.071","Ia","0","1",""
"SN2012eq","2012/08/27","","ESO 412-G1","01:00:14.37,01:00:14.376","-30:48:30.9,-30:48:30.89,-30:48:30.96","0.03223","Ia","0","1",""
"SN2012eu","2012/08/27","","PGC 145362","03:13:04.16,03:13:04.152","-08:23:31.7,-08:23:31.70,-08:23:31.704","0.03","Ia","0","1",""
"SN2012gd","2012/10/23","","PGC 1646513","01:51:47.78,01:51:47.70,01:51:47.712","+21:16:20.6,+21:16:20.60,+21:16:21.36","0.055","Ia","0","1",""
"SN2012hz","2012/12/10","","A064341+5212","06:43:41.89,06:43:42","+52:12:33.7,+52:12:33.70,+52:12:33.84","0.043","Ia","0","1",""
"SN2012ia","2012/12/12","","A103548+3900","10:35:48.24","+39:00:27.9,+39:00:27.90,+39:00:28.08","0.044","Ia","0","1",""
