"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","Radio"
"SN2016etf","2016/08/03","18.77","2MASX J22040319-1013059","22:04:03.14,22:04:03.140,22:04:03.13","-10:13:05.59,-10:13:05.6","0.057,0.057","Ia","9","1",""
"SN2016hnl","2016/10/14","16.88","","06:04:59.05,06:04:59.050,06:04:59.088","-33:24:40.01,-33:24:40.32","0.031615","Ia","9","1",""
"SN2017aac","2017/01/29","17.3","2MASX J08103080+0515368","08:10:30.93,08:10:30.930,08:10:30.92","+05:15:37.15,+05:15:37.1","0.03,0.03","Ia","9","1",""
"SN2001de","2001/07/13","16.5","UGC 12089","22:34:18.06","+50:24:54.7,+50:24:54.68","0.03106","Ia","8","2",""
"CSS140128:082352+043655","2014/01/28","","","08:23:52.31,08:23:52.32","+04:36:55.0,+04:36:55.008","0.06","Ia","8","1",""
"CSS141123:091002+521856","2014/11/23","","","09:10:01.86,09:10:01.81,09:10:01.92","+52:18:56.2,+52:18:56.4,+52:18:56.52","0.04","Ia","8","1",""
"iPTF13dkl","2013/09/12","17.79","","23:44:57.99,23:44:57.97","+03:23:40.3,+03:23:40.2","0.04","Ia","8","1",""
"iPTF14ikw","2014/11/27","19.67","2MASX J08305299+2216140","08:30:52.99","+22:16:13.1,+22:16:13.0","0.0543","Ia","8","1",""
"PS1-13ekq","2013/11/21","19.29","PGC 847586","04:55:16.42,04:55:16.44","-20:00:05.7,-20:00:05.1","0.08","Ia","8","1",""
"PS1-14oo","2014/02/25","17.51","","13:07:45.12","+16:14:05.0","0.05","Ia","8","1",""
"PTF10wnm","2010/09/30","18.82","","00:22:03.734,00:22:03.6888,00:22:03.70","+27:02:22.09,+27:02:21.48,+27:02:21.5","0.0656","Ia","8","4",""
"PTF10wof","2010/10/01","18.49","","23:32:41.28,23:32:41.42","+15:21:31.68,+15:21:31.7","0.05256","Ia","8","4",""
"SN2010ho","2010/09/04","17.94","PGC 1361264","23:19:09.723,23:19:09.84,23:19:09.74,23:19:10.24","+09:11:45.55,+09:11:45.6,+09:11:54.4,+09:11:54.38","0.040952","Ia","8","4",""
"SN2010hs","2010/09/10","19.2","2MASX J02253767+2445579","02:25:39.14,02:25:39.144,02:25:39.1,02:25:39.072","+24:45:53.6,+24:45:53.64,+24:45:54,+24:45:53.60,+24:45:50.76","0.073","Ia","8","4",""
"SN2011hf","2011/10/17","","A221651-0315","22:16:51.14,22:16:51.12","-03:15:55.0,-03:15:55.01,-03:15:54.972","0.054","Ia","8","1",""
"SN2014am","2014/03/26","","152319+1817","15:23:18.48","+18:17:33.3,+18:17:33.29,+18:17:33.72","0.053","Ia","8","1",""
"SSS120817:002822-305723","2012/08/17","","","00:28:21.82,00:28:22.00,00:28:21.828","-30:57:23.1,-30:57:23.00,-30:57:23.04","0.051","Ia","8","1",""
"CSS150124:134701+092441","2015/01/24","","","13:47:01.16,13:47:01.2","+09:24:41.4,+09:24:41.364","0.07","Ia","8","1",""
"OGLE-2015-SN-024","2015/01/17","19.17","","05:10:02.05","-77:59:11.1","0.075","Ia","8","1",""
"PS15cox","2015/10/25","17.3","2MASX J03080479-0314543","03:08:04.79","-03:14:54.2","0.031","Ia","8","1",""
"PS15dbd","2015/12/01","18.13","PGC 178739","05:56:52.94","-22:00:45.9","0.044","Ia","8","1",""
"SN2016brm","2016/04/13","17.97","2MASX J13583377+3847504","13:58:33.80,13:58:33.79","+38:47:56.97,+38:47:56.9","0.064,0.064","Ia","8","1",""
"SN2016fez","2016/08/21","16.8","2MASX J17055033+6950555","17:05:48.61,17:05:48.610,17:05:48.96,17:05:50.33","+69:50:53.95,+69:50:54.6,+69:50:55.5","0.037,0.037","Ia","8","1",""
"SN2016iew","2016/11/11","17.79","","06:13:11.53,06:13:11.530,06:13:11.544","-24:16:19.49,-24:16:18.84","0.058,0.058","Ia","8","1",""
"SN2016ile","2016/11/11","18.11","","04:02:15.47,04:02:15.470,04:02:15.552","-32:58:55.30,-32:58:54.12","0.065,0.065","Ia","8","1",""
"SN2016jbs","2016/12/25","18.22","MCG -02-24-17","09:22:08.58,09:22:08.580,09:22:08.64","-09:45:17.57,-09:45:17.568","0.054838","Ia","8","1",""
